Generation;PopBestRed;PopBestBlue;PopAvgRed;PopAvgBlue;BestOverallRed;BestOverallBlue
0;4253,173;0;-9566,145;0;4253,173;0
1;26464,92;0;-2170,536;0;26464,92;0
2;26530,12;0;9523,513;0;26530,12;0
3;26589,87;0;8232,775;0;26589,87;0
4;26590,25;0;4269,724;0;26590,25;0
5;26567,92;0;7022,667;0;26590,25;0
6;26693,74;0;5986,8;0;26693,74;0
7;26728,04;0;10730,68;0;26728,04;0
8;26747,55;0;6808,747;0;26747,55;0
9;26740,04;0;4838,612;0;26747,55;0
10;26599,2;0;6113,941;0;26747,55;0
11;26600,3;0;3113,447;0;26747,55;0
12;26992,08;0;7251,415;0;26992,08;0
13;26660,86;0;8461,784;0;26992,08;0
14;26725,86;0;8774,035;0;26992,08;0
15;26540,9;0;4806,117;0;26992,08;0
16;26656,49;0;6981,915;0;26992,08;0
17;26623,64;0;8509,979;0;26992,08;0
18;26599,77;0;6615,392;0;26992,08;0
19;26740,7;0;6791,319;0;26992,08;0
20;26749,27;0;6446,97;0;26992,08;0
21;26706,22;0;9246,467;0;26992,08;0
22;26721,08;0;12398,21;0;26992,08;0
23;26731,96;0;7056,589;0;26992,08;0
24;26718,81;0;8194,003;0;26992,08;0
25;26852,5;0;12418,03;0;26992,08;0
26;26852,79;0;9583,127;0;26992,08;0
27;26830,48;0;14774,96;0;26992,08;0
28;26872,92;0;8609,318;0;26992,08;0
29;26799,19;0;13027,12;0;26992,08;0
30;26941,17;0;11765,87;0;26992,08;0
31;26838,07;0;13577,87;0;26992,08;0
32;26917,53;0;10433,9;0;26992,08;0
33;26863,12;0;13152,71;0;26992,08;0
34;26876,19;0;12914,88;0;26992,08;0
35;26726,52;0;10643;0;26992,08;0
36;26879,55;0;12940,37;0;26992,08;0
37;26769,42;0;9567,345;0;26992,08;0
38;26768,7;0;5931,493;0;26992,08;0
39;26802,73;0;11456,99;0;26992,08;0
40;26908,31;0;10724,36;0;26992,08;0
41;26905,5;0;14888,23;0;26992,08;0
42;26870,86;0;13623,1;0;26992,08;0
43;26916,89;0;11919,76;0;26992,08;0
44;26933,35;0;12637,83;0;26992,08;0
45;26886,22;0;13051,94;0;26992,08;0
46;26811,27;0;10915,42;0;26992,08;0
47;26923,61;0;13837,13;0;26992,08;0
48;26914,92;0;14885,89;0;26992,08;0
49;26928,71;0;10840,61;0;26992,08;0
50;26888,74;0;14812,68;0;26992,08;0
51;26849,21;0;13121,69;0;26992,08;0
52;26966,55;0;16369,46;0;26992,08;0
53;26911,97;0;12702,07;0;26992,08;0
54;26877,71;0;10078,73;0;26992,08;0
55;26879,41;0;7032,244;0;26992,08;0
56;26808,38;0;5947,709;0;26992,08;0
57;26862,55;0;8574,304;0;26992,08;0
58;26749,74;0;7796,953;0;26992,08;0
59;26882,7;0;10322,01;0;26992,08;0
60;26821,29;0;13747,98;0;26992,08;0
61;27049,96;0;13055,28;0;27049,96;0
